# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
25699.1000 M752 821974 1 3477.1000 P9 P4 242 N P9->P4
25722.7000 M709 530146 3 4796.7000 P12 P6 220 N P12->S38->S31->P6
25909.4000 M583 561994 4 8733.4000 B24 P10 154 N B24->S36->B16->S30->P10
25994.1000 M735 947856 1 4294.1000 B19 B16 228 N B19->B16
26247.0000 M672 860109 3 6406.0000 S27 P12 193 N S27->P0->B21->P12
26470.9000 M727 662589 4 5009.9000 S31 S29 216 N S31->S32->P14->B23->S29
26660.8000 M402 504659 6 14820.8000 S26 P6 52 N S26->P11->S29->B18->B17->P0->P6
26771.5000 M800 581214 2 3101.5000 S28 B17 248 N S28->S34->B17
26823.3000 M870 939145 2 1113.3000 S26 S27 281 N S26->P10->S27
26826.3000 M669 726510 4 7077.3000 B20 S27 182 N B20->S34->S26->P10->S27
26904.1000 M779 995970 1 3862.1000 B15 P4 235 N B15->P4
26992.5000 M717 804698 1 5821.5000 B21 P10 202 N B21->P10
27441.3000 M878 740851 1 1496.3000 S28 S31 275 N S28->S31
27474.8000 M899 699761 1 907.8000 P9 S25 284 N P9->S25
27549.5000 M930 725114 1 77.5000 P0 B21 298 N P0->B21
27612.0000 M513 523611 7 12554.0000 B17 S25 90 N B17->S36->S34->S26->P10->P4->P11->S25
27651.5000 M880 669579 1 1646.5000 B24 S30 272 N B24->S30
27655.9000 M635 612441 3 8931.9000 S27 P7 151 N S27->P0->B21->P7
27659.7000 M858 947550 1 2315.7000 B21 P7 261 N B21->P7
27779.3000 M700 991761 1 7110.3000 B20 P5 181 N B20->P5
27871.2000 M745 594193 3 5868.2000 P12 P5 202 N P12->S38->S36->P5
27875.2000 M822 980779 2 3581.2000 B21 P5 240 N B21->S36->P5
27917.4000 M894 562729 1 1505.4000 P3 P5 274 N P3->P5
28183.1000 M620 966831 4 9905.1000 B17 S32 134 N B17->B20->S29->B22->S32
28185.3000 M840 541949 1 3367.3000 B22 S32 243 N B22->S32
28240.5000 M774 664629 2 5349.5000 B17 P4 210 N B17->P0->P4
28387.7000 M760 901467 2 5922.7000 P9 P11 201 N P9->P4->P11
28391.0000 M868 804862 1 2742.0000 P4 P11 254 N P4->P11
28393.1000 M949 515170 1 378.1000 P11 P4 293 N P11->P4
28584.6000 M871 970886 2 2847.6000 S26 P3 252 N S26->P10->P3
28588.3000 M696 909062 2 8035.3000 B20 P10 166 N B20->P3->P10
28622.8000 M823 909305 3 4297.8000 P7 S30 228 N P7->S31->S34->S30
28717.3000 M395 729876 11 17083.3000 P1 B16 15 N P1->S30->S39->P10->P9->P13->S26->P8->S33->S37->P3->B16
28802.7000 M812 752452 1 4796.7000 B18 P12 220 N B18->P12
28805.2000 M632 604256 4 10175.2000 P11 P12 130 N P11->B17->P0->B18->P12
28808.6000 M857 830454 2 3489.6000 P13 B18 241 N P13->P12->B18
28813.9000 M834 683020 2 4169.9000 P2 S32 230 N P2->B16->S32
28982.3000 M978 727360 1 141.3000 P12 S30 297 N P12->S30
28984.4000 M610 503655 4 11004.4000 P9 P12 116 N P9->P5->S34->S30->P12
29148.7000 M964 733807 1 709.7000 P7 B21 288 N P7->B21
29151.8000 M988 768102 1 23.8000 P7 B21 299 N P7->B21
29233.2000 M748 895762 1 7140.2000 B23 B22 180 N B23->B22
29265.2000 M980 753560 1 367.2000 B23 P3 293 N B23->P3
29352.3000 M791 562731 2 5939.3000 P11 B17 201 N P11->P4->B17
29356.3000 M835 999361 2 4686.3000 P11 B17 221 N P11->P4->B17
29368.8000 M893 872047 1 2982.8000 B24 B19 250 N B24->B19
29565.6000 M922 614747 1 2322.6000 B23 B21 261 N B23->B21
